"last_name, first_name","player_id","year","pitch_hand","arm_angle","ff_avg_speed","ff_avg_spin","ff_avg_break_x","ff_avg_break_z_induced","sl_avg_speed","sl_avg_spin","sl_avg_break_x","sl_avg_break_z_induced","ch_avg_speed","ch_avg_spin","ch_avg_break_x","ch_avg_break_z_induced","cu_avg_speed","cu_avg_spin","cu_avg_break_x","cu_avg_break_z_induced","si_avg_speed","si_avg_spin","si_avg_break_x","si_avg_break_z_induced","fc_avg_speed","fc_avg_spin","fc_avg_break_x","fc_avg_break_z_induced","fs_avg_speed","fs_avg_spin","fs_avg_break_x","fs_avg_break_z_induced","st_avg_speed","st_avg_spin","st_avg_break_x","st_avg_break_z_induced","sv_avg_speed","sv_avg_spin","sv_avg_break_x","sv_avg_break_z_induced"
"Singer, Brady",663903,2025,"R",26.2,"91.5","2416","-6.2","14.8","82.4","2426","5.1","-1",,,,,,,,,"92.2","2353","-15.9","10.6","87.7","2333","1.5","8",,,,,"81.2","2399","10.3","1.4",,,,
"Bubic, Kris",663460,2025,"L",37.7,"92.3","2423","4.3","18.1","85.5","2492","-1.2","0.4","85.6","1611","11.3","0.1",,,,,"91.8","2242","13.5","9.6",,,,,,,,,"83","2692","-13.1","-4.7",,,,
"Pepiot, Ryan",686752,2025,"R",42.1,"95","2411","-7.9","19.3","89.2","2582","6.4","9.4","86.2","2507","-14.1","1.6","81.1","2938","15.7","-10.8","94.6","2377","-13.3","14.8","91.6","2513","2.5","14",,,,,,,,,,,,
"Sugano, Tomoyuki",608372,2025,"R",40.9,"92.3","2382","-5.9","16.9",,,,,,,,,"78","2664","9.2","-12.2","92.5","2279","-14.3","12.3","87.8","2465","1.6","5.8","87.1","1624","-12.6","6.2","83.2","2586","11.1","2.5",,,,
"Severino, Luis",622663,2025,"R",39.6,"95.9","2266","-7.1","16.3","87.1","2456","6.3","3.7","86.5","1616","-14.2","7",,,,,"95.6","2124","-14","12.1","92.9","2285","0.6","9",,,,,"84.7","2552","15.3","2.5",,,,
"Schwellenbach, Spencer",680885,2025,"R",35.8,"97.1","2318","-5.5","14.8","87","2350","2.5","-2.2",,,,,"81","2301","8.1","-7.2","95.6","2179","-15.2","7.4","94.1","2302","0.6","11","84.7","1368","-9.4","0.2",,,,,,,,
"Corbin, Patrick",571578,2025,"L",36.8,"91.3","2140","8.1","15.5","80","2225","-2.6","0.3","80.2","1312","11.1","8","66.9","1867","-3.1","-3.1","91.3","2090","15.1","11","86.9","2321","-1.3","6.1",,,,,,,,,,,,
"Allen, Logan",671106,2025,"L",35.4,"90.9","2237","6.2","16",,,,,"82.6","949","9","5.5",,,,,"88.8","1963","13.4","9.1","85.3","2273","-4.6","5.7",,,,,"77.6","2308","-15","0.8",,,,
"Alcantara, Sandy",645261,2025,"R",31.2,"97.4","2277","-14.6","12.7","89","2370","0.8","4.4","90.3","2080","-17.8","4.6","85.2","2455","2.7","-1.6","97.1","2325","-17.9","7.8",,,,,,,,,,,,,,,,
"Holmes, Clay",605280,2025,"R",43.8,"93.1","2312","-6.4","13.9","85.2","2582","1.8","-4.1","88.1","1135","-13","0.6",,,,,"93.6","2208","-14.4","3.4","89.6","2461","1","4.6",,,,,"81.8","2805","16.7","-6.3",,,,
"Verlander, Justin",434378,2025,"R",53.3,"93.9","2429","-9","18.6","87.5","2484","3.8","6.2","84.8","1742","-13.2","9.2","78.6","2723","7.9","-11.6",,,,,,,,,,,,,"79.9","2642","13","-1.9",,,,
"Gallen, Zac",668678,2025,"R",41.8,"93.3","2329","-4.4","17.2","87.6","2400","6","4","86.8","1524","-12.5","4.1","81","2448","5.1","-11.5","93.3","2233","-11.6","16.1","89.3","2364","3.5","9.8",,,,,,,,,,,,
"Parker, Mitchell",680730,2025,"L",60.6,"92.8","2169","5.2","18","84.9","2251","-4.3","2.6",,,,,"81.5","2259","-0.1","-7.4",,,,,,,,,"85.2","959","7","9.2",,,,,,,,
"Fedde, Erick",607200,2025,"R",35.2,,,,,,,,,"87.3","1821","-12.9","2.8",,,,,"93.2","1966","-12","9.8","90.1","2124","0.8","9.6",,,,,"82.4","2401","12.8","4.2",,,,
"Lorenzen, Michael",547179,2025,"R",43.4,"94.2","2335","-11","15.5","85.2","2575","3.4","-0.4","84.1","1969","-15.1","9","82.3","2523","2.1","-12.4","93.5","2193","-16.1","9.4","90.6","2516","-1","8.7",,,,,"83.2","2505","11.9","-1.5",,,,
"Kochanowicz, Jack",686799,2025,"R",29.4,"95.7","2250","-7.3","14.1","87.3","2739","3.5","-0.5","89.9","2102","-8.3","2.9",,,,,"95.6","2141","-14.4","2.9",,,,,,,,,"82.5","2837","13.5","-2.8",,,,
"Falter, Bailey",663559,2025,"L",55.3,"92.1","2119","3.1","18.7","85.4","2040","-4.5","7.1",,,,,"77.6","1857","-3.6","-2.5","92","2062","7.5","18.2",,,,,"85.4","935","3.7","10.3",,,,,,,,
"Quantrill, Cal",615698,2025,"R",44.8,"93.4","2141","-10.3","16.6","84.9","2427","3.7","-0.3","87.7","1713","-14.4","10.3","79.9","2504","3.8","-6.8","93.5","2103","-15.8","12.3","88.9","2307","2.1","8.7","86.4","1150","-11.8","6.1",,,,,,,,
"Anderson, Tyler",542881,2025,"L",54.9,"89.1","2178","6.8","19.5","79.8","2331","-3.5","3.7","78.6","1914","13.1","12.2","69.4","2046","-2.6","-10.1","88.2","2125","16.3","10.2","84","2291","-1.9","13.1",,,,,,,,,,,,
"Mize, Casey",663554,2025,"R",45.1,"94.5","2217","-7.9","17","87.5","2197","2.7","3.9",,,,,,,,,"94.6","2146","-14.4","12.9",,,,,"88.7","1439","-14.3","4.2","83.5","2112","12.1","5.2","83.1","2224","6.7","-1"
"Berríos, José",621244,2025,"R",38.3,"93","2136","-9.9","15.4",,,,,"85.4","1534","-14.5","4",,,,,"92.2","2035","-16.4","10.6","89.6","2318","0.5","9.5",,,,,,,,,"82.5","2355","15.3","-4.2"
"Senzatela, Antonio",622608,2025,"R",43.5,"94.8","2218","-4.5","11.5","86.6","2299","4.6","3","87.3","2204","-9","7.1","79.9","2481","5.9","-6.2","95.1","2223","-9.9","12.9",,,,,,,,,,,,,,,,
"Pivetta, Nick",601713,2025,"R",57.5,"93.8","2315","-2.1","19.9","83.1","2444","7.2","6.5","90.1","1333","-15","12.4","79","2796","6.5","-16.9","93.6","2266","-9.4","18.7","89.4","2367","6","8.7",,,,,"81.7","2460","13.5","2.6",,,,
"Yamamoto, Yoshinobu",808967,2025,"R",44,"95.2","2179","-6.9","16","85.9","2768","6.2","0",,,,,"76.7","2733","11.9","-16.6","94.5","2199","-13.3","12.2","91","2416","3.7","7.9","90.6","1399","-10.8","1.8","84.2","2981","14.9","-8.7",,,,
"Eovaldi, Nathan",543135,2025,"R",30.3,"94","2212","-14.7","11.9","85.4","2112","6.3","2.4",,,,,"75.9","1931","9.1","-8.1",,,,,"90.7","2320","-0.1","11.8","87.5","1511","-12.1","-0.2",,,,,,,,
"Canning, Griffin",656288,2025,"R",42.3,"94.1","2148","-9.5","15.8","87.7","2739","1.6","-4.4","89.5","1485","-15","1.5","81.4","2508","13.3","-5.5","94.5","2205","-13.6","15.5","89.6","2434","0.3","8.2",,,,,,,,,,,,
